"t1","t2","t3","time","ResponseId","Confidence in answer","Previous stats analysis","Stats software","Knowledge software","Knowledge stats","Knowledge Bayesian","Strategy","Affect of choice","Education","alpha","beta","condition","WIP_alpha","WIP_beta","IP_alpha","IP_beta"
462.543,138.997,260,861.54,"R_1gHJx7f8alSmRCe",3,"Yes","R","Extremely knowledgeable","Very knowledgeable","Very knowledgeable","I wanted reasonable priors that excluded impossible values. I thought it would be best to allow a broad range of intercepts (though tried to stay below the maximum), so used a t distribution for that parameter. I wanted to be a little more conservative for the difference parameter, so used a normal for that prior, though again, I allowed for a large range of possible values.","Minimally, given enough data.","Doctorate","t(3,0.39)","N(0,1)","2t",TRUE,FALSE,FALSE,FALSE
269.781,251.196,368,888.977,"R_2vkTdaqBdlnBw88",4,"Yes","R","Extremely knowledgeable","Very knowledgeable","Very knowledgeable","Intercept chosen to encompass all realistic pump possibilities.  Need to use inverse link function to see the effect of the prior on lambda as my brain does not think on log scale as easily.

Would really prefer to visualize prior predictive samples rather than parameter density functions.  I would code this up myself if I really wanted to do this my way, but figured I would play along with the visual.","Depends on the amount of data, which I do not recall at this point.","Doctorate","N(3.5,0.7)","t(0,0.2)","0c",TRUE,FALSE,FALSE,TRUE
538.313,393.252,314,1245.565,"R_1mWvmKfSvRmlvRx",3,"Yes","R","Very knowledgeable","Moderately knowledgeable","Very knowledgeable","First, the prior shouldn't allow for data that are impossible. In this case, we had a maximum number of pumps. Second, the prior should be informed by previous research (if any). In this case, we had likely values so I tried to make sure the distribution was set above those values while still satisfying the first point. Third, the prior for the effect of the condition couldn't presume anything -- the two conditions need to have similar priors (at least) so that the data can inform whether or not there is an actual difference in response based on condition.","It depends on how informative the data are. By design, the posterior will be an updated version of the prior based on information from the data as expressed through the likelihood.","Doctorate","N(3.27,0.44)","N(0,0.61)","2t",FALSE,TRUE,TRUE,FALSE
321.656,10.626,112,444.282,"R_29sT7dDB615SBjG",3,"Yes","R","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Weak prior with thicker tails","Allows for wider variance","Master's degree (eg. MA, MS)","t(3.77,0.75)","t(-0.18,0.74)","1t",TRUE,NA,FALSE,FALSE
143.578,502.625,706,1352.203,"R_tFdHae9vsNRljcB",3,"Yes","R","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","(Because I was lazy about setting up a beta distribution parameterized with mean and sd instead of alpha and beta) I draw 10 000 probabilities with mean between 24.6/128 and 44.1/128 with sd 5.93/128 (with the normal distribution, because I did not think it would make practical difference to use the mean-and-sd beta distribution, which is not directly available in base R), then for each I draw a number of pumps based on the binomial distribution, and calculated the mean and sd for the log pumps, and used it for the alpha prior. For the beta prior, I picked the SD of the alpha prior and multiplied by 2.5, and used it for the scale, leaving the mean as zero. Used a student-t distribution for both.","Weakly informative prior for the beta parameter, which was the purpose of the research, and informative prior for the alpha parameter, based on the literature review.","Doctorate","t(3.5,0.3)","t(0,0.75)","0c",FALSE,TRUE,TRUE,FALSE
52.836,87.693,230,370.529,"R_2zZLfWLFwSw0lfy",4,"Yes","brms / stan","Very knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Extremely limited evidence, if any, for power pose in any form from prior research. Also, a priori, I don't believe almost any embodiment claim because it isn't rooted in any foundational theory that makes sense.","Not sure what this question is asking. They will affect the posterior in the usual ways.","Doctorate","t(4,0.46)","N(0,0.2)","1t",NA,FALSE,NA,TRUE
332.189,141.82,228,702.009,"R_2XbALqTXonvwMoj",4,"Yes","increasingly brms; previously Mplus. Completing following Qs based on brms","Very knowledgeable","Moderately knowledgeable","Moderately knowledgeable","I based the priors on the literature preview provided and regularizing sensibilities based on Gelman's work and McElreath's text","Given we're working on the log scale, my priors were moderately informative.","Doctorate","N(3.52,0.24)","N(0,0.2)","0c",FALSE,FALSE,TRUE,TRUE
268.926,285.245,233,787.171,"R_qV0Nk8BcRSPLzaN",4,"Yes","R","Extremely knowledgeable","Extremely knowledgeable","Very knowledgeable","The meta-analysis gives information about the intercept term.  I tried to select a prior which most closely matched the mean and uncertainty from the meta-analysis.  I chose a t- distribution over a normal to allow for larger or smaller baseline effects should the data support them.","My choice of priors will likely be consistent with the meta-analysis.","Master's degree (eg. MA, MS)","t(3.5,0.2)","N(0.04,1)","0c",FALSE,FALSE,TRUE,FALSE
308.299,69.669,199,576.968,"R_56mpxCu5HPYTp8B",1,"Yes","Calculus","Extremely knowledgeable","Extremely knowledgeable","Extremely knowledgeable","I chose those distributions that didn't give significant weight to very implausible values","For estimation it depends on the sample size; probably not much.  For model selection I would have had to set up competing sets of priors.","Doctorate","N(3.6,0.34)","N(0.06,0.23)","1t",TRUE,TRUE,FALSE,FALSE
249.697,80.777,102,432.474,"R_2yfoUjzdP7DSBbe",2,"Yes","R, brms","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","I generally err on the side of weakly informative priors","Perhaps somewhat wider credibility intervals compared to a stronger prior","Master's degree (eg. MA, MS)","t(3.67,0.87)","t(-0.08,0.91)","1t",TRUE,TRUE,FALSE,FALSE
